run_id,experiment_id,status,artifact_uri,start_time,end_time,metrics.explained_variance_score_P,metrics.mean_absolute_error_Nd,metrics.pearson_Db,metrics.mean_squared_error_Nd,metrics.mean_absolute_error_M,metrics.smape_P,metrics.mean_absolute_error_Db,metrics.mean_squared_error_M0,metrics.smape_Nd,metrics.max_error_M,metrics.mean_squared_error_P,metrics.r2_score_Nd,metrics.smape_Db,metrics.r2_score_M0,metrics.total_loss,metrics.max_error_Nd,metrics.pearson_Nd,metrics.mean_absolute_error_M0,metrics.max_error_Db,metrics.final_est_num_agents,metrics.mean_absolute_error_P,metrics.r2_score_M,metrics.phi_estimated,metrics.smape_M0,metrics.r2_score_P,metrics.explained_variance_score_M,metrics.pearson_M0,metrics.max_error_M0,metrics.r2_score_Db,metrics.explained_variance_score_Nd,metrics.explained_variance_score_M0,metrics.smape_M,metrics.mean_squared_error_M,metrics.max_error_P,metrics.final_num_agents,metrics.explained_variance_score_Db,metrics.pearson_M,metrics.mean_squared_error_Db,metrics.pearson_P,params.seed,params.delta,params.num_considered_Dbs,params.Gammak,params.learning_steps,params.N,params.M0_initialization_variance,params.epochs,params.use_relative_error,params.threshold,params.price_error_stddev,params.num_restarts,params.burnin,params.Q,params.max_iteration,params.num_deals_error_stddev,params.learning_rate,tags.mlflow.source.git.commit,tags.mlflow.source.type,tags.mlflow.source.name,tags.mlflow.user
672f846fab314831aa6f28c462a5346f,1,RUNNING,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/1/672f846fab314831aa6f28c462a5346f/artifacts,2023-03-09 01:24:03.716000+00:00,,0.9501841747444167,0.03076331180295127,0.9233052276949595,0.0065126891985146755,115.63960637244496,0.01473871424813298,5.000422065397993,60265.44265039514,0.0006142328697877292,518.7554931640625,0.41604432917260753,0.9991469498090597,,0.29076501875646066,204.24377822875977,0.5278064786616454,0.9995735023500505,199.09600563049315,17.1765426977597,5000.000195980072,0.600308583820541,0.6401902180012071,1.0,0.9341350368583805,0.898421473685852,0.6401959311235526,0.597731177674045,518.7554931640625,0.7649292582395116,0.9991469498090852,0.29076925561170164,0.6403032214480784,24210.341679526187,1.431432803329315,4991.0,0.7649292582395116,0.8025264598245059,43.32010099970712,0.9748866598956647,62,0.0625,256,[0.5 0.4 0.1],4,1000,1,5,False,0.05,1.0,10,0,500,100,1.0,0.001,2a4ecb25997a2822cc9b10841572ca436a908aa3,LOCAL,grid-learnable-abm.py,corrado
798fa399a46446bd91e18f2b7d14d48e,1,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/1/798fa399a46446bd91e18f2b7d14d48e/artifacts,2023-03-08 13:50:45.556000+00:00,2023-03-09 01:24:03.714000+00:00,0.955669045831012,0.023895029451347752,0.9302301428035058,0.002013196943335666,101.40564416173014,0.013752411642373445,4.693434776395264,31485.754773697405,0.0004734873422171315,458.1014709472656,0.37125963047967003,0.999950443723038,,0.6020675212263812,205.9632692337036,0.20672225008887324,0.9999759190939183,142.1272196451823,18.0,5003.0001455545425,0.5621483531398398,0.5144710521933051,1.0,0.7398583576359459,0.9173451574184663,0.5144854149133062,0.7788886499729618,458.1014709472656,0.793711401261268,0.9999504437230394,0.6020711162988119,0.38176667562420047,17362.98890807949,1.411851274916458,4992.0,0.793711401261268,0.7534893766719521,39.36442597297068,0.9775939605133022,61,0.0625,256,[0.5 0.4 0.1],4,1000,1,5,False,0.05,1.0,10,0,500,100,1.0,0.001,2a4ecb25997a2822cc9b10841572ca436a908aa3,LOCAL,grid-learnable-abm.py,corrado
b69623f5d69f468bb831509c0ce1042a,1,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/1/b69623f5d69f468bb831509c0ce1042a/artifacts,2023-03-08 02:26:19.472000+00:00,2023-03-08 13:50:45.555000+00:00,0.9528660218233594,0.12001598108981011,0.9248512808635214,0.05573356155552301,97.39549968631486,0.014661157701857849,4.982826625998614,41135.79955124687,0.0029243594202280287,574.9931030273438,0.41328642004865834,0.9992862341195227,,0.567229359502758,314.1875591278076,1.2293961123599573,0.9997074144693449,130.56656165122985,17.66666666666667,4996.999903932213,0.598081974704114,0.6158116535344087,1.0,0.6334376944829256,0.9079442861136027,0.6158147920503492,0.7827773890140743,574.9931030273438,0.7753760492010335,0.9992862341195233,0.567231042717943,0.40391914696076403,21936.614698165038,1.3841645544142125,4994.000000000001,0.7753760492010335,0.8376523037298604,44.105347606921086,0.9762613619326692,60,0.0625,256,[0.5 0.4 0.1],4,1000,1,5,False,0.05,1.0,10,0,500,100,1.0,0.001,2a4ecb25997a2822cc9b10841572ca436a908aa3,LOCAL,grid-learnable-abm.py,corrado
a959206bfffc43d3a169f2fabd920343,1,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/1/a959206bfffc43d3a169f2fabd920343/artifacts,2023-03-07 15:11:07.259000+00:00,2023-03-08 02:26:19.453000+00:00,0.9436276222897152,0.16260128861124254,0.9161146806159534,0.21312215582548122,157.7189127608544,0.01464464445121041,4.994164007602724,88737.46386877939,0.0030714146430555764,598.1537475585938,0.41461569110006863,0.9935453718020458,,0.06464234504188104,350.74489402770996,3.31143578795826,0.9976341017677107,240.93363265991212,18.306550687016554,4997.999969601631,0.5978954737035427,-0.014990798221164336,1.0,0.7735627616816789,0.9114622670291819,-0.014980951402569831,0.415261905186456,598.1537475585938,0.7654776949131159,0.9935453718020476,0.06464702979293624,0.4458240704301044,39623.01490302102,1.4644361232218017,4989.999999999999,0.7654776949131159,0.47977179222243904,44.011184820090484,0.9714347764261214,59,0.0625,256,[0.5 0.4 0.1],4,1000,1,5,False,0.05,1.0,10,0,500,100,1.0,0.001,2a4ecb25997a2822cc9b10841572ca436a908aa3,LOCAL,grid-learnable-abm.py,corrado
7d6eaf3270c84eb28e728dfeb88dd7e4,1,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/1/7d6eaf3270c84eb28e728dfeb88dd7e4/artifacts,2023-03-07 04:20:45.288000+00:00,2023-03-07 15:11:07.241000+00:00,0.9507357209378389,0.0618611926116003,0.9226708460801034,0.029729768645681325,112.72082792518518,0.014753880288968515,5.014030627034476,50072.53335114701,0.0012383497644489162,462.6717529296875,0.42664917775409666,0.997924615429007,,0.28667296498895367,203.25745105743408,1.173961367963841,0.9990532394838829,172.19560953776042,16.182851554563804,5001.999959111214,0.6017775035065317,0.5104345883137502,1.0,0.7213133939782193,0.8914854585977102,0.510440585067286,0.5770608967156501,462.6717529296875,0.7607224015211264,0.997924615429029,0.28667701708703175,0.4292909513275648,23221.30408818697,1.3508778858894672,4992.0,0.7607224015211264,0.7771231993562362,44.46420272125632,0.975198287910438,58,0.0625,256,[0.5 0.4 0.1],4,1000,1,5,False,0.05,1.0,10,0,500,100,1.0,0.001,2a4ecb25997a2822cc9b10841572ca436a908aa3,LOCAL,grid-learnable-abm.py,corrado
c21d1153f1084d14a8dc4819b36c9f33,1,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/1/c21d1153f1084d14a8dc4819b36c9f33/artifacts,2023-03-06 15:31:32.676000+00:00,2023-03-07 04:20:45.287000+00:00,0.9383637889345678,0.035776967274359535,0.9195388948214311,0.006298560010916755,91.20075330354751,0.015350169872014293,5.152805382955141,26662.731262716607,0.0007527293101083982,371.5532531738281,0.4554040141691728,0.9998915042179544,,0.7288965403217353,208.110107421875,0.47601448555774795,0.9999503648383267,133.6530776977539,16.0,4997.000052809715,0.6253261437700103,0.7834473158612159,1.0,0.7135079903621099,0.8934283837643274,0.7834492819977039,0.8584128808741408,371.5532531738281,0.760009821814051,0.9998915042179547,0.7288987546938979,0.4301538933657066,12732.602987193033,1.499216258597464,4993.0,0.760009821814051,0.88841602628871,46.15752296552094,0.9688559305365727,57,0.0625,256,[0.5 0.4 0.1],4,1000,1,5,False,0.05,1.0,10,0,500,100,1.0,0.001,2a4ecb25997a2822cc9b10841572ca436a908aa3,LOCAL,grid-learnable-abm.py,corrado
9ce2780f25dd46e2a00f2698b2b3f9d9,1,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/1/9ce2780f25dd46e2a00f2698b2b3f9d9/artifacts,2023-03-06 02:39:07.273000+00:00,2023-03-06 15:31:32.674000+00:00,0.9498553002359258,0.04195570018029735,0.9157752516414863,0.004769295810642093,82.00825347892165,0.014968085056164131,5.12803650788894,15769.884623358019,0.0008472239474194851,316.75445556640625,0.43852318562673237,0.9999181663382646,,0.8258038150357775,227.19287014007568,0.3064322623775837,0.9999623481646532,97.82410430908203,17.942307692307697,4998.00005787611,0.6124208461310935,0.7294270370015857,1.0,0.5915751273716852,0.9115865275222667,0.7294311023426392,0.9113989299463279,316.75445556640625,0.7544561692450775,0.9999181663382664,0.8258062206897128,0.41247713945553793,10297.170197830486,1.4070883986278702,4992.999999999999,0.7544561692450775,0.8881705565566709,47.42354797840262,0.9747419514439244,56,0.0625,256,[0.5 0.4 0.1],4,1000,1,5,False,0.05,1.0,10,0,500,100,1.0,0.001,2a4ecb25997a2822cc9b10841572ca436a908aa3,LOCAL,grid-learnable-abm.py,corrado
9aed690323a74e859f2cb75d194de277,1,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/1/9aed690323a74e859f2cb75d194de277/artifacts,2023-03-05 15:34:02.561000+00:00,2023-03-06 02:39:07.272000+00:00,0.9380848302375515,0.08027124871310698,0.9241303146080212,0.025817215854869003,99.09898028461512,0.0144296506944525,4.883474169045564,68007.08085396928,0.0020294395330383804,801.9116668701172,0.40778741583316935,0.9996250021399181,,0.3262782256886575,269.9158458709717,0.8946295178845247,0.9998575319676977,150.2783886273702,16.0,4994.999915078282,0.5881591698037489,0.5762255592914172,1.0,0.7875217533209175,0.9029513497469874,0.5762268108443309,0.6221457055426438,801.9116668701172,0.7821503740487336,0.9996250021399186,0.3262803830706742,0.46946671719083743,27180.636081505847,1.3524483474574467,4993.000000000001,0.7821503740487337,0.7639757465019617,42.4485058538083,0.9710203238643027,55,0.0625,256,[0.5 0.4 0.1],4,1000,1,5,False,0.05,1.0,10,0,500,100,1.0,0.001,2a4ecb25997a2822cc9b10841572ca436a908aa3,LOCAL,grid-learnable-abm.py,corrado
2b4bd9f02ec04fdabc9071392b3e072b,1,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/1/2b4bd9f02ec04fdabc9071392b3e072b/artifacts,2023-03-05 04:25:09.938000+00:00,2023-03-05 15:34:02.559000+00:00,0.9514024239263364,0.08023515996841238,0.9254653593853445,0.049018366669054424,99.3755819310372,0.014446747049433531,4.889936038652579,64407.304624025215,0.001745265970516766,713.4906768798828,0.40408683498904274,0.9991920419225336,,0.37552626993572513,301.7139205932617,1.2967141827934867,0.9996593695464154,175.64121932983397,16.194115932660285,4997.000007033347,0.5876214699585536,0.5443081181503784,1.0,0.8614746855452357,0.9156635167832725,0.5443089429086256,0.6801945284732791,713.4906768798828,0.7799949010660947,0.999192041922534,0.3755273472403575,0.4453141385327955,23598.696469976683,1.1896896673586852,4995.0,0.7799949010660947,0.7521433084592639,42.48514741203492,0.9754164890670125,54,0.0625,256,[0.5 0.4 0.1],4,1000,1,5,False,0.05,1.0,10,0,500,100,1.0,0.001,2a4ecb25997a2822cc9b10841572ca436a908aa3,LOCAL,grid-learnable-abm.py,corrado
8d62c5b5219c4b59a116751c5937df16,1,FINISHED,file:///data/big/corrado/data-driven-econ-abm/src/mlruns/1/8d62c5b5219c4b59a116751c5937df16/artifacts,2023-03-04 16:18:49.522000+00:00,2023-03-05 04:25:09.936000+00:00,0.9560497814089477,0.05007942069814439,0.9256764689367026,0.006182224119221353,56.6366628126672,0.01409818170679737,4.838951951378723,7996.73761994248,0.0010378208544676141,240.11865234375,0.39073878282819335,0.9999040754046632,,0.9227147184711469,201.9059295654297,0.35412236269768727,0.9999533009178709,62.8170446395874,17.18225468834966,4998.999957218766,0.5767672360818008,0.8869179239724353,1.0,0.47584115170578845,0.9185792787107104,0.8869207474826768,0.9641893117221932,240.11865234375,0.7827199816707966,0.9999040754046904,0.9227168231933707,0.36287351671355167,5885.07407527753,1.3172187864446485,4993.0,0.7827199816707966,0.9529228867290039,42.04838225217572,0.9777801961912816,53,0.0625,256,[0.5 0.4 0.1],4,1000,1,5,False,0.05,1.0,10,0,500,100,1.0,0.001,2a4ecb25997a2822cc9b10841572ca436a908aa3,LOCAL,grid-learnable-abm.py,corrado
