rmse,group
0.050533292835786545,smart random MT
0.046905630126259215,smart random MT
0.061142042508797324,smart random MT
0.035695375853921074,smart random MT
0.06061224343261322,smart random MT
0.031077910322845292,smart random MT
0.021377614839381557,smart random MT
0.05600941018588505,smart random MT
0.03248775247039466,smart random MT
0.033513526503330435,smart random MT
0.028330527850911315,time series MT
0.025006235218395408,time series MT
0.025947697611850846,time series MT
0.025799903630426384,time series MT
0.026819122088567578,time series MT
0.021666460364204866,time series MT
0.024485233106952074,time series MT
0.03148177365909678,time series MT
0.021068634913265164,time series MT
0.01949854921421079,time series MT
0.14474451266705682,constant predictor
0.15641111748231,constant predictor
0.11227875715458584,constant predictor
0.1745497694732444,constant predictor
0.10886936142029563,constant predictor
0.1487913579111074,constant predictor
0.18845101789907814,constant predictor
0.12130108673423623,constant predictor
0.1544766878012729,constant predictor
0.1677011032551701,constant predictor
0.0019891811561098885,learned MT
0.003913926940340517,learned MT
0.0019514763730588299,learned MT
0.004977873179494211,learned MT
0.0035456731642170896,learned MT
0.0016700423848076697,learned MT
0.0007454819053981047,learned MT
0.0012839448454899367,learned MT
0.0023123908121537155,learned MT
0.0011039594002752076,learned MT
